,Lot Number,Product,Date,Shop Order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
1,09G189482,PT00096177,20190816,189482,0,RM004,FS10002952,R1800,,,,,X98146,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
2,18C16263X,8881907102,20190901,182831,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
3,18C16363X,8881907102,20190901,182832,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
4,18C16463X,8881907102,20190901,182833,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
5,18E20563X,8881112059,20191231,183763,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
6,18E20663X,8881112059,20191231,183764,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
7,18E20763X,8881112059,20191231,183765,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
8,18G10763,85121,20190123,184437,15000.000,RM004,FS10003096,R1246D,,,,,,,PT00006610,,WP8510,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
9,18G12463,8934,20190219,184455,15200.000,RM160,FS10003181,R1292D,RM220,,,,,,PT00012137,,WP7417,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
10,18G20663,1522SA,20190102,184563,42519.860,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
11,18H07763,31378089,20190107,184778,375645.192,RM157,FS10028268,R1750,PT00065936,,,PT00006659,,,CL63R98461A,,R7611,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
12,18H08163,8900SA,20190116,184782,2520.000,RM160,FS10003166,CL63R1796,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
13,18H11463,31180378,20190102,184830,1080.000,RM160,FS10006143,RM112,PT00062563,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
14,18H11663,31323358,20190218,184832,290702.196,RM004,FS10006098,,RM260,,,,,,PT00067913,,PT00075579,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
15,18H11763,31353603,20190130,184833,381129.420,RM032,FS10006109,,RM170,,,,,,PT00067913,,PT00069525,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
16,18H13063,85221,20190123,184848,7200.000,RM004,FS10003117,,,,,,,,PT00006610,,WP8520N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
17,18H13563,8900SA,20190220,184853,1620.000,RM160,FS10003166,CL63R1796,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
18,18H14463,8989CRH,20190109,184862,1470.000,RM165,FS10028282,R1700,,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
19,18H18963X,8881540122,20190327,184936,0,,FS10024556,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
20,18H19063X,8881540122,20190116,184937,0,,FS10024556,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
21,18H22063X,6492739,20190123,184986,0,,FS20003060,,,,,,PT00033969,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syringe
22,18H22163X,6492739,20190123,184987,0,,FS20003060,,,,,,PT00033969,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syringe
23,18H22463,31144010,20190117,184990,77760.000,RM032,FS10006041,PT00005527,RM170,,,,,,PT00006643,,WP7605,,,,,,,,,R1679,,R4415,,,,,,,,,,,,,Containers
24,18J07563,8303SA,20190109,185100,36348.786,RM157,FS10003077,R1378B,PT00065936,,,,,,PT00052518,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
25,18J07863,8935Y,20190110,185103,0,RM160,FS10003183,R1292D,RM220,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
26,18J09163,8790,20190213,185118,5600.000,RM093,FS10003347,R1528A,RM025,,,,,,PT00006671,,R7089W-1,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
27,18J09463,8967MW,20190213,185121,5980.000,RM165,FS10003200,R1300D,,,,,,,PT00006610,,WP8965MW,,,,,,,,,,,R4415,,R7028NMW,,,,,,,,,,,Containers
28,18J11663,8967Y,20190109,185165,23760.000,RM171,FS10003201,R1300D,RM260,,,,,,PT00006610,,WP8965U,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
29,18J18163,8791,20190116,185240,3480.019,RM157,FS10006442,R1700,RM025,,,,,,PT00006671,,PT00016495,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
30,18J18563,31300919,20190130,185249,33840.000,RM106,FS10006050,PT00005525,RM260,,,,,,PT00006643,,WP7605,,,,,,,,,R1679,,R4415,,,,,,,,,,,,,Containers
31,18J21163X,6492739,20190123,185275,99.000,0301001,FS20003060,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
32,18J21363X,4502476,20190204,185277,0,0301001,FS10020813,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
33,18J22163,8998,20190109,185284,8330.000,RM093,FS10003239,R1700,PT00065936,,,,,,PT00012138,,PT00013703,,,,,,,,,,,R4415,,,WP8999,,,,,,,,,,Containers
34,18J22263,8998PG2,20190109,185285,1722.000,RM176,FS10003738,RM054,PT00065936,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
35,18J22863,8985CRS,20190102,185291,162639.360,RM165,FS10028283,R1644A,,,,,,,PT00012137,,WP7449,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
36,18J22963,31300878,20190204,185292,0,RM171,FS10002818,PT00044733,RM260,,,,,,PT00006643,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
37,18J23163,85321R,20190206,185294,4200.000,RM032,FS10003132,R1308D,RM170,,,,,,PT00006610,,WP8520N02,,,,,,,,,R1075,,R4415,,,,,,,,,,,,,Containers
38,18K04863,31143665,20190206,185384,2625.000,RM157,FS10006135,RM054,PT00065936,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
39,18K07163,1522SA,20190114,185418,42519.860,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
40,18K07263,8506SA,20190211,185419,54573.398,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
41,18K08663,8836SA,20190121,185439,0,RM093,FS10006504,CL63R1779,PT00065943,,,PT00068805,X98146,,CL63R98234,,,,,,,,,,,R5098,,R4415,,,,,,,,,,,,,Containers
42,18K08763,8932PG2,20190109,185440,6280.000,RM129,FS10003746,RM054,PT00065936,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
43,18K13063,065,20190116,185509,1001.000,RM160,FS20001323,CL63R1771,PT00065936,,,PT00034306,,,PT00034305,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
44,18K13863,1522SA,20190121,185517,42519.860,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
45,18K13963,V8870,20190117,185518,2380.000,RM020,FS10029848,CL63R1769B,PT00065942,,,PT00006652,,,CL63R98234,,PT00013699,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
46,18K14163,31314886,20190213,185520,729485.375,RM106,FS10006080,,RM170,,,,,,PT00067913,,PT00075579,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
47,18K14563,8906,20190130,185524,612.000,RM160,FS10003169,CL63R1796,RM026,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
48,18K18263X,1181200777,20190123,185589,0,,FS10017237,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
49,18K18563X,1181200777,20190116,185592,0,,FS10017237,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
50,18K18763X,1181200777,20190123,185594,0,,FS10017237,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
