,Lot Number,Product,first_entry_date,last_entry_date,shop_order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
1,09G189482,PT00096177,2019-08-16,2019-08-23,189482,0,RM004,FS10002952,R1800,,,,,X98146,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
2,18C16263X,8881907102,2019-09-01,2019-09-01,182831,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
3,18C16363X,8881907102,2019-09-01,2019-09-01,182832,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
4,18C16463X,8881907102,2019-09-01,2019-09-01,182833,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
5,18E20563X,8881112059,2019-12-31,2019-12-31,183763,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
6,18E20663X,8881112059,2019-12-31,2019-12-31,183764,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
7,18E20763X,8881112059,2019-12-31,2019-12-31,183765,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
8,18G10763,85121,2019-01-22,2019-01-23,184437,15000.000,RM004,FS10003096,R1246D,,,,,,,PT00006610,,WP8510,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
9,18G12463,8934,2019-02-19,2019-02-19,184455,15200.000,RM160,FS10003181,R1292D,RM220,,,,,,PT00012137,,WP7417,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
10,18G20663,1522SA,2019-01-02,2019-01-16,184563,42519.860,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
