,Lot Number,Product,Date,Shop Order,requested_qty,packaging,resin,colorant,Formula Sheet,misc,lid component lid,label,lid assembly,PRINTER ACCESSORIES,SILICON FLUID,rubber tip,ifu,pad,label stock,label kit,purging solvent,lid component hood,lid component,PAD,LABEL,barrel,lid component rotor,lid,lid component door,lid component cap,lid component washer,container,TRAY,fg,lid component cowl,bracket key,cannula,tip cap,Value Stream
1,19191259,R8930LA,20200401,191259,6864.000,,,,,,R7511*A,R4237,RM10022317,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
2,19D27563X,4502570,20201201,188358,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
3,19E02463X,4502570,20201201,188400,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
4,19E02563X,4502570,20201201,188401,0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,Syringe
5,19E188488,R7046N,20200212,188488,316996.056,,RM004,,FS10002847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS not found
6,19G00463X,4502570,20201201,189166,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
7,19G10763X,8881112083,20201201,189332,0,EXP6001,,,FS10017988,,,,,PT00033969,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
8,19G10863X,8881112083,20200406,189333,0,EXP6001,,,FS10017988,,,,,PT00033969,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
10,19G22963X,8881512878,20201201,189522,0,EXP6020,,,FS10011723,,,,,PT00033971,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
11,19G23063X,8881512878,20201201,189523,0,EXP6020,,,FS10011723,,,,,PT00033971,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
12,19G23163X,8881512878,20201201,189524,0,EXP6020,,,FS10011723,,,,,PT00033971,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
13,19G28063,8985CRS,20200225,189592,0,RM054,RM129,PT00065936,FS10028283,,,,WP7449,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
14,19H03763X,8881112083,20201201,189649,0,5000109,0301001,,FS10017988,,,,,PT00033969,PT00009994,4101801,,,5241008,,,,,,,,,,,,,,,,,,,,Syringe
15,19H06863,8608U,20200219,189686,5940.000,R1644A,RM129,RM074,FS20001166,,,,WP7449,,,,PT00067917,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,Containers
16,19H12063,8851,20200304,189772,10940.000,R1644A,RM129,PT00065942,FS10021628,,,PT00006652,WP7450BL,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
17,19H17163,8851NB,20200304,189853,0,R1644A,RM129,PT00065942,FS20002478,,,PT00006677,WP7450BLNB,,,,CL63R98482,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
18,19H189702,WP7449,20200205,189702,2700.000,R98028,RM160,PT00065942,FS10002950,,PT00012284,,WP7478,X9899,,,,,,,X9894,WP7477,,,,,,,,,,,,,,,,,Containers
19,19H189714,WP8985,20200102,189714,0,R98028,,PT00065942,DC00030201,,,,,,,,,,,,X9894,,,,,,,,,,,,,,,,,,Containers
20,19H189875,WP7478,20200115,189875,25985.485,,RM036,RM018,FS10002954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
21,19H189878,WP7450BLNB,20200304,189878,0,R98028,RM160,PT00065943,FS20002482,,PT00012285,,WP7478,X9899,,,,,,,X9894,,WP7477NB,,,,,,,,,,,,,,,,Containers
22,19H189902,R7028GRMW,20201014,189902,7643.155,,RM093,RM025,FS10003349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS not found
23,19H190037,WP7450BL,20200305,190037,0,R98028,RM093,PT00065943,FS10021629,,PT00012285,R4237,WP7478,X9899,,,,,,,X9894,WP7477,,,,,,,,,,,,,,,,,Containers
24,19H25863,31144010,20200115,189982,45000.000,R1680,RM032,RM170,FS10006041,,,,WP7605,,,,PT00006643,,R4415,,,,,R1679,,,,,,,,,,,,,,,Containers
25,19J00963,8618RC,20200108,190050,10440.000,R1700,RM176,RM074,FS10021632,,,,WP7417P,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,Containers
26,19J02763X,8881512878,20200406,190081,0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,Syringe
27,19J05563,8997PG2,20200128,190112,7740.000,RM054,RM129,PT00065936,FS10003742,,,,PT00013692,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
28,19J05863,8608RC,20200205,190119,2520.000,R1644A,RM129,RM074,FS10021636,,,,WP7449,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,Containers
29,19J06063,8871,20200122,190123,5390.000,R1700,RM020,PT00065942,FS10021624,,,PT00006652,WP7417BL,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
30,19J06363,31180378,20200206,190126,2160.000,RM112,RM129,PT00062563,FS10006143,,,,WP4810,,,,PT00067912,,R4415,,,,,,,,,,,,,,,,,,,,Containers
31,19J08363,8939CRS,20200123,190164,430440.192,RM054,RM093,PT00065936,FS10028285,,,,WP7417P,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
32,19J08763,31157160,20200126,190171,1415.000,RM054,RM129,PT00065936,FS10006139,,,PT00047930,WP4810,,,,R98399A,,,,,,,,,,,,,,,,,,,,,,Containers
33,19J11163,8932PG2,20200227,190199,8080.000,RM054,RM129,PT00065936,FS10003746,,,,PT00013694,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
34,19J11263,31300919,20200122,190213,27360.000,R1680,RM171,RM260,FS10006050,,,,WP7605,,,,PT00006643,,R4415,,,,,R1679,,,,,,,,,,,,,,,Containers
35,19J12763,31156550,20200201,190238,4920.000,RM054,RM129,PT00065936,FS10006137,,,,WP4810,,,,PT00067912,,R4415,,,,,,,,,,,,,,,,,,,,Containers
36,19J12963,8535Y,20200102,190240,13600.000,R1317D,RM004,RM260,FS10003136,,,,WP8526,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,Containers
37,19J13963,8860,20200102,190279,4800.000,R1292D,RM129,PT00065942,FS10003162,,,PT00006652,PT00013699,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
38,19J15263,8527R,20200117,190297,33300.000,PT00049846,RM171,RM170,FS10003126,,,,WP8526,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,Containers
39,19J190141,WP0001PKG,20200115,190141,25000.000,X9902,,,FS20006469,,,,,,,,,,,,,,,R5098,R4227,,,,,,,,,,,,,,Containers
