,shop_order,tool,mach_name,resin,total_pieces,start_time,end_time,number of entries
0,185642,R7024L,65-T310,RM171,78654.0,2019-01-02 10:12:53,2019-01-21 14:00:00,59.0
1,185463,R7450A,91-T180,RM171,4217217.0,2019-01-02 10:26:01,2019-01-13 18:00:01,20.0
2,185596,R7479C-Thin-Wall,54-H1100,RM165,16604.0,2019-01-02 14:00:00,2019-01-08 22:00:00,20.0
3,186266,R7036E-Thin-Wall,74-H650,RM129,1100.0,2019-01-02 14:00:00,2019-01-02 14:00:00,1.0
4,184693,R7605D,83-T390,RM171,147572.0,2019-01-02 14:00:00,2019-01-23 06:00:00,126.0
5,184856,R7028J,80-H440,RM171,28138.0,2019-01-02 14:00:00,2019-01-10 14:00:00,25.0
6,185610,R7028M-Thin-Wall,60-N500,RM129,16270.0,2019-01-02 14:00:00,2019-02-14 22:00:00,71.0
7,186430,R7042M,32-N400,RM171,12564.0,2019-01-02 14:00:00,2019-01-03 22:00:00,5.0
8,186197,R7481A,85-N400,RM093,5811.0,2019-01-02 14:00:00,2019-01-03 22:00:00,5.0
9,185652,R7500D,14-N400,RM129,32709.0,2019-01-02 18:00:00,2019-01-03 18:00:01,15.0
10,184563,R7463B,431-T310,RM129,11503.0,2019-01-02 18:00:00,2019-01-07 06:00:00,20.0
11,186194,R7461D,37-N400,RM129,228025.0,2019-01-02 18:00:00,2019-02-02 06:00:00,152.0
12,186332,R7511A,42-T720,RM176,8716.0,2019-01-02 18:00:00,2019-01-08 18:00:00,13.0
13,185601,R7028N-Thin-Wall,61-T500,RM129,24576.0,2019-01-02 18:00:01,2019-01-26 06:00:00,34.0
14,185612,R7036C,74-H650,RM165,7437.0,2019-01-02 21:17:34,2019-01-04 14:00:00,7.0
15,185786,R7500D,14-N400,RM129,293600.0,2019-01-03 18:05:45,2019-01-10 06:00:01,70.0
16,186019,R7524A,90-N120,RM110,3780660.0,2019-01-04 11:38:15,2019-01-08 06:00:00,9.0
17,186429,R7515A,33-T500,RM176,15658.0,2019-01-04 13:58:50,2019-01-09 06:00:00,16.0
18,186331,R7479D-Thin-Wall,52-H1100,RM176,2363.0,2019-01-04 14:07:45,2019-01-05 06:00:00,3.0
19,186013,R7623A,50-T390,RM093,10338.0,2019-01-04 16:34:59,2019-01-18 06:00:01,42.0
20,186066,R7417B,34-N400,RM176,7766.0,2019-01-04 16:58:58,2019-01-10 06:00:00,18.0
21,185165,R7028N-Thin-Wall,81-T500,RM171,0.0,2019-01-04 17:31:27,2019-01-08 06:00:00,9.0
22,186340,R7028N-Thin-Wall,81-T500,RM171,0.0,2019-01-08 07:21:16,2019-01-10 18:00:00,6.0
23,186018,R7075B,90-N120,RM044,681196.0,2019-01-08 14:59:13,2019-01-21 18:00:00,19.0
24,185664,R7046L-Thin-Wall,42-T720,RM171,7370.0,2019-01-08 18:49:51,2019-01-09 18:00:01,3.0
25,184862,R7479C-Thin-Wall,54-H1100,RM165,1666.0,2019-01-09 01:36:34,2019-01-09 14:00:00,3.0
26,185861,R7032D,43-N500,RM171,48480.0,2019-01-09 19:22:35,2019-01-28 06:00:00,38.0
27,186568,R7479C-Thin-Wall,54-H1100,RM129,2422.0,2019-01-09 21:24:14,2019-01-10 22:00:01,5.0
28,185653,R7046L-Thin-Wall,42-T720,RM171,60524.0,2019-01-10 06:00:00,2019-01-21 06:00:00,23.0
29,186164,R7414A,33-T500,RM129,154225.0,2019-01-10 06:55:36,2019-01-21 06:00:01,101.0
