,NC Number,Initiation Date,Initial Failure Mode,Disposition,Lot Number,Dispositioned Quantity,Product,Client Name,,Department,Disposition Completed,Disposition in Execution,Closed Date,Disposition Completed Date,ea Cost,Cost,IFM Description,IFM Inspection,IFM Process,Created Date,Discovery/Plant Area,Root Cause,Root Cause Description,Status,Value Stream
0,NC-IL081-21848,2020-04-13 00:00:00,CFF-F-Welding,Accept,20B07863,2280,8506SA,,,Quality,Yes,Yes,2020-06-05 13:09:05.667000,2020-06-05 00:00:00,33.5,76380.0,Weld Strength ,Functional,Welding,2020-04-13,C19,Machine Failure,Machine Failure,CLOSED,Container
1,NC-IL081-21909,2020-04-15 00:00:00,SFF-M-V-Flash/Gate 1,Accept,20D06863X,120000,4502570,,,Quality,Yes,Yes,2020-06-17 16:20:05.130000,2020-06-17 00:00:00,0.1,12000.0,Flash Type 1: Flash in Fluid Path (Luer Tip) exceeds 1/64” (.016”). Does not meets drawing specification,,,2020-04-15,S6C,Mold Wear or Damage,Mold Wear or Damage,CLOSED,Syringe
2,NC-IL081-21944,2020-04-16 00:00:00,CFF-F-Molding 8,Accept,20C192148,1716,WP8850,,,Quality,Yes,Yes,2020-07-09 18:09:41.473000,2020-07-09 00:00:00,1.5,2574.0,Failed gasket height/width,Functional,Gasketing,2020-04-16,C64,Machine Failure,Machine Failure,CLOSED,Container
3,NC-IL081-22019,2020-04-20 00:00:00,SFF-M-V-Drag Marks/ Gouges/Nicks Scratches 2,Accept,20D14063X,70000,4502570,,,Quality,Yes,Yes,2020-06-23 21:53:23.253000,2020-06-23 00:00:00,0.1,7000.0,Not Found,Not Found,Not Found,2020-04-20,S6C,Mold Wear or Damage,Mold Wear or Damage,CLOSED,Syringe
4,NC-IL081-22019,2020-04-20 00:00:00,SFF-M-V-Drag Marks/ Gouges/Nicks Scratches 2,Accept,20D14163X,92000,4502570,,,Quality,Yes,Yes,2020-06-23 21:53:23.253000,2020-06-23 00:00:00,0.1,9200.0,Not Found,Not Found,Not Found,2020-04-20,S6C,Mold Wear or Damage,Mold Wear or Damage,CLOSED,Syringe
5,NC-IL081-22125,2020-04-22 00:00:00,CFF-V-Label Verification and Barcode Verification 10,Accept,20B18263,720,1522SA,,,Quality,Yes,Yes,2020-06-17 19:39:04.567000,2020-05-28 00:00:00,33.5,24120.0,BH - Missing label,Visual,Labeling,2020-04-22,C43B,Human Error,Human Error,CLOSED,Container
6,NC-IL081-22215,2020-04-27 00:00:00,CFF-V-Label Verification and Barcode Verification 10,Accept,20D22063,260,85221R,,,Quality,Yes,Yes,2020-06-26 21:14:03.933000,2020-06-25 00:00:00,26.2,6812.0,BH - Missing label,Visual,Labeling,2020-04-27,C42,Machine Failure,Machine Failure,CLOSED,Container
7,NC-IL081-22331,2020-04-30 00:00:00,SFF-SA-F-Spraymation,Accept,20D18463X,132000,4502570,,,Quality,Yes,Yes,2020-08-03 15:42:49.890000,2020-08-03 00:00:00,0.1,13200.0,Spraymation,,,2020-04-30,S8K,Process Complexity,,CLOSED,Syringe
8,NC-IL081-22394,2020-05-05 00:00:00,SFF-PPSP-V-Labeling/Print 2,Accept,20D22963X,3897,8881512878,,,Quality,Yes,Yes,2020-07-13 21:54:49.903000,2020-07-13 00:00:00,102.1,397883.69999999995,Printing is smeared and not legible,,,2020-05-05,S2P,Ink Cartridge,The head of the ink cartridge had a buildup of ink causing the ink not to flow properly.,CLOSED,Syringe
9,NC-IL081-22394,2020-05-05 00:00:00,SFF-PPSP-V-Labeling/Print 2,Reject,20D22963X,19143,8881512878,,,Quality,Yes,Yes,2020-07-13 21:54:49.903000,2020-07-13 00:00:00,102.1,1954500.2999999998,Printing is smeared and not legible,,,2020-05-05,S2P,Ink Cartridge,The head of the ink cartridge had a buildup of ink causing the ink not to flow properly.,CLOSED,Syringe
10,NC-IL081-22679,2020-05-16 00:00:00,CFF-V-Packaging 1,Accept,20E192983,2335,R7515P,,,Quality,Yes,Yes,2020-05-21 18:50:08.420000,2020-05-21 00:00:00,0.8,1868.0,Product is not packaged as per packaging standards,Visual,Assembly,2020-05-16,C33,Packaging/Cartoning,Production made the call to change the packaging due to the current packaging causing bends in the lid that would not run through our gasketing process.,CLOSED,
11,NC-IL081-22688,2020-05-16 00:00:00,CFF-V-Labeling - Product & Overshipper 1,Accept,20C07063,1596,31353603,,,Quality,Yes,Yes,2020-06-22 14:39:27.760000,2020-06-08 00:00:00,40.9,65276.399999999994,Product and Lot Number is incomplete or missing,Visual,Labeling,2020-05-16,C89,Uneven platen roller,The uneven platen roller of the printer caused inconsistent print pressure.,CLOSED,Container
12,NC-IL081-22750,2020-05-20 00:00:00,PR-Parameters out of specification,Accept,20D22163X,201600,1181200777,,,Quality,Yes,Yes,2020-08-20 21:26:34.417000,2020-08-20 00:00:00,67.9,13688640.000000002,,Not Specified,Process,2020-05-20,S8C,People/Human Error/,People/Human Error/,CLOSED,Syringe
13,NC-IL081-22804,2020-05-22 00:00:00,SFF-PPSP-V-Seal Integrity 1,Accept,20D22463X,11040,1181200777,,,Quality,Yes,Yes,2020-06-24 15:25:20.813000,2020-06-24 00:00:00,67.9,749616.0000000001,Void allows air into sealed package,,,2020-05-22,S8F,Damaged Gasket,Damaged Gasket,CLOSED,Syringe
14,NC-IL081-22817,2020-05-24 00:00:00,PR-Environmental,Accept,20D22463X,1,1181200777,,,Quality,Yes,Yes,2020-07-17 18:51:32.750000,2020-07-17 00:00:00,67.9,67.9,Not Found,Not Found,Not Found,2020-05-24,CME,Equipment,Equipment,CLOSED,Syringe
15,NC-IL081-22842,2020-05-26 00:00:00,SFF-M-V-Flash/Gate 3,Accept,20E07363X,13279,8881512852,,,Quality,Yes,Yes,2020-06-29 19:48:17.063000,2020-06-29 00:00:00,97.7,1297358.3,Flash Type 3: Flash in NON-Functional Areas (including gates) exceeds 1/16” (.063”),,,2020-05-26,S3D,Machine settings,Defect occurred due to being too hot and possibly the decompression not working. Caused by normal wear and tear and possible dirty gates. The original parameters were in spec.,CLOSED,Syringe
16,NC-IL081-22842,2020-05-26 00:00:00,SFF-M-V-Flash/Gate 3,Reject,20E07363X,1121,8881512852,,,Quality,Yes,Yes,2020-06-29 19:48:17.063000,2020-06-29 00:00:00,97.7,109521.7,Flash Type 3: Flash in NON-Functional Areas (including gates) exceeds 1/16” (.063”),,,2020-05-26,S3D,Machine settings,Defect occurred due to being too hot and possibly the decompression not working. Caused by normal wear and tear and possible dirty gates. The original parameters were in spec.,CLOSED,Syringe
