,shop_order,lot_number,Product,Date,component,BOM_qty,MOPNO,requested_qty,finished_qty,MQISS,MQREQ
0,188269,19D188269                ,PT00013699                         ,20211201,DC00017303                         ,1.000000,0,0.001,0,0,0.001
1,188269,19D188269                ,PT00013699                         ,20211201,R4226A                             ,1.000000,0,0.001,0,0,0.001
2,188269,19D188269                ,PT00013699                         ,20211201,R7515BL                            ,1.000000,0,0.001,0,0,0.001
3,199016,21K199016                ,PT00016498                         ,20211126,RM093                              ,8.718750,0,5940.000,0,0,51789.375
4,199016,21K199016                ,PT00016498                         ,20211126,RM157                              ,0,0,5940.000,0,0,0
5,199016,21K199016                ,PT00016498                         ,20211126,RM160                              ,0,0,5940.000,0,0,0
6,199016,21K199016                ,PT00016498                         ,20211126,FS10002899                         ,0,0,5940.000,0,0,0
7,199016,21K199016                ,PT00016498                         ,20211126,RM020                              ,0,0,5940.000,0,0,0
8,199016,21K199016                ,PT00016498                         ,20211126,PT00065942                         ,0.041917,0,5940.000,0,0,248.987
9,198957,21K198957                ,PT00069525                         ,20211102,RM129                              ,83.920928,20,1572.000,0,0,131923.699
10,198957,21K198957                ,PT00069525                         ,20211102,RM160                              ,0,20,1572.000,0,0,0
11,198957,21K198957                ,PT00069525                         ,20211102,RM157                              ,0,20,1572.000,0,0,0
12,198957,21K198957                ,PT00069525                         ,20211102,FS10023482                         ,0,0,1572.000,0,0,0
13,198957,21K198957                ,PT00069525                         ,20211102,RM129                              ,57.727488,25,1572.000,0,0,90747.612
14,198957,21K198957                ,PT00069525                         ,20211102,RM160                              ,0,25,1572.000,0,0,0
15,198957,21K198957                ,PT00069525                         ,20211102,RM157                              ,0,25,1572.000,0,0,0
16,198957,21K198957                ,PT00069525                         ,20211102,FS10023483                         ,0,0,1572.000,0,0,0
17,198957,21K198957                ,PT00069525                         ,20211102,X98140                             ,0,30,1572.000,0,0,0
18,198957,21K198957                ,PT00069525                         ,20211102,X98141                             ,0,30,1572.000,0,0,0
19,198957,21K198957                ,PT00069525                         ,20211102,X98142                             ,0,30,1572.000,0,0,0
20,198957,21K198957                ,PT00069525                         ,20211102,RM129                              ,35.643062,30,1572.000,0,0,56030.893
21,198957,21K198957                ,PT00069525                         ,20211102,FS10023481                         ,0,0,1572.000,0,0,0
22,198957,21K198957                ,PT00069525                         ,20211102,FS10006169                         ,0,0,1572.000,0,0,0
23,198957,21K198957                ,PT00069525                         ,20211102,CL63R1781                          ,1.000000,35,1572.000,0,0,1572.000
24,198957,21K198957                ,PT00069525                         ,20211102,CL63R1782                          ,1.000000,35,1572.000,0,0,1572.000
25,198957,21K198957                ,PT00069525                         ,20211102,CL63R1783                          ,2.000000,35,1572.000,0,0,3144.000
